country,year,LIFEEXP,GDP_PPPpc,MORTRATE,GINI_post,GINI_pre
AFG,2010,61.028,1671.58123769109,88,30.2,30.9
ALB,2010,76.562,9927.62958299789,13.3,38.4,44
ARM,2010,73.331,6702.82936989704,18.5,35.9,47.4
ARG,2010,75.278,18911.8231883276,14.4,39.9,40.7
AUT,2010,80.5804878048781,43336.1978527647,4.3,28.2,47.9
AUS,2010,81.6951219512195,41529.7844367051,4.8,32.9,48
BIH,2010,76.031,9763.58778451394,7.2,39.6,46.4
BRB,2010,78.364,16275.7751679577,14.6,46.8,45.7
BGD,2010,69.881,2518.43417760304,49.1,33.9,36.3
BEL,2010,80.1829268292683,41085.9175030485,4.5,25.6,37.4
BFA,2010,57.096,1423.37770598198,114.4,39.7,40
BGR,2010,73.5121951219512,15283.2747066107,10.7,33,36.5
BDI,2010,57.228,733.727722815265,90.7,36.7,37.4
BEN,2010,59.318,1818.77846075906,111.1,44.8,45.4
BOL,2010,68.007,5337.32562765861,41.1,45.3,45
BRA,2010,73.619,14619.5110785703,18.7,46.3,55.5
BHS,2010,72.144,29706.9085147558,12.9,43.9,50.3
BTN,2010,68.384,6814.29428112798,42.5,39.6,40.4
BWA,2010,60.211,13235.1642703252,49.8,59.3,58.9
BLR,2010,70.4048780487805,16260.5926799472,5.5,24.5,29.9
CAN,2010,81.2463414634146,40697.5816614987,5.6,31.2,47
COD,2010,56.909,659.795884207033,115.3,42.1,42.3
COG,2010,60.093,5323.42872751902,62.5,46.8,46.8
CHE,2010,82.2463414634147,55866.3050707537,4.5,29.1,41.6
CIV,2010,52.964,2673.01308258126,107.2,41.1,41
CHL,2010,78.779,19363.220303036,8.7,45.3,51.3
CMR,2010,55.101,2876.42910520644,107.2,43.2,43.2
CHN,2010,74.409,9498.07974429813,15.8,43,46.2
COL,2010,75.424,10956.9458516118,18.5,49.8,51.7
CRI,2010,78.769,12908.8321995121,10.1,45.6,49.2
CPV,2010,71.062,5943.35034723677,24.9,48.1,48.9
CYP,2010,79.43,33913.2951547692,3.6,29.6,51.4
CZE,2010,77.4243902439025,28352.9493964403,3.4,25.3,44.5
DEU,2010,79.9878048780488,40428.7210307617,4.2,28.7,51.2
DNK,2010,79.1,43998.4261013179,4.1,25.4,46.9
DOM,2010,72.046,11365.4939987589,34.2,45.4,52.4
DZA,2010,74.938,12920.751516087,27.4,32.5,33.4
ECU,2010,75.089,9304.72808586679,18.3,44.3,45.4
EST,2010,75.4292682926829,22740.9720038708,4.6,32.3,47.2
EGY,2010,70.349,10019.3097059847,29,40.4,45.8
ESP,2010,81.6268292682927,32507.0939660629,3.9,33.7,50.4
ETH,2010,61.627,1074.59461303402,82.9,32.5,32.9
FIN,2010,79.8707317073171,39848.1344978775,3.1,25.5,47.6
FJI,2010,66.655,7353.21705896177,23.9,39.2,40.7
FRA,2010,81.6634146341463,36814.9211418022,4.3,29.4,48.4
GAB,2010,61.4,15507.7275528356,62.8,39.3,39.7
GBR,2010,80.4024390243902,36508.7801742556,5.2,33.5,53.7
GEO,2010,71.46,6981.47589791816,14.2,40.2,49.1
GHA,2010,61.03,3026.35523319406,69.9,41,42.5
GMB,2010,59.637,1551.58893699578,77.1,42.6,42.9
GIN,2010,56.861,1666.48532900342,117.2,36.9,37.5
GRC,2010,80.3878048780488,28726.0792836873,3.9,33.2,50.1
GTM,2010,71.481,6714.04888748557,35,46.8,48.5
GNB,2010,54.628,1430.97246260323,113.8,43.7,44.6
HND,2010,73.317,3912.6035957246,23.6,49.9,49.7
HRV,2010,76.4756097560976,20757.6244713517,5.5,27.7,40.2
HTI,2010,60.511,1509.62565890198,208.6,53.1,58.3
HUN,2010,74.2073170731707,22405.1779035861,6,27.2,50.6
IDN,2010,69.205,8457.55655491923,34.1,45.5,39.9
IRL,2010,80.7439024390244,44897.1583385855,4.2,29.9,52.2
ISR,2010,81.6024390243903,29665.3153877937,4.6,36.9,49.9
IND,2010,66.693,4451.23359773883,58.2,46.9,49
IRQ,2010,68.567,13154.0570864094,34.7,30.2,31.3
IRN,2010,73.905,18138.6482389898,19.7,38,42.1
ISL,2010,81.8975609756098,40136.7371548952,2.6,26,38.1
ITA,2010,82.0365853658537,36201.1615672134,4,33.1,47.9
JAM,2010,74.038,8018.40037994563,18.3,40.9,41.3
JOR,2010,73.428,9386.17904454746,20.3,34.6,35.5
JPN,2010,82.8426829268293,35749.7566788784,3.2,31.6,42.1
KEN,2010,60.959,2435.83373551697,56.5,44.1,45.5
KGZ,2010,69.3,2790.17066394311,29.6,34,38
KHM,2010,66.56,2522.31478784906,44.3,34.5,35.4
COM,2010,61.862,2426.18249620984,87.1,53,53.6
KOR,2010,80.1170731707317,30352.1048190303,4.1,31,34.3
KAZ,2010,68.2953658536585,20096.5597617046,20.2,26.1,36.1
LAO,2010,64.306,4216.8303435899,68.1,35.1,36
LBN,2010,78.36,14405.9606020753,10.2,34.8,35.7
LKA,2010,75.439,8502.88946500842,11.6,48.8,41.6
LBR,2010,59.6,1101.48419081554,96.7,35.5,35.8
LSO,2010,45.1,2418.9320256919,100.2,52,55.5
LTU,2010,73.2682926829268,21070.6121671458,6,33.5,49.7
LUX,2010,80.6317073170732,91743.2938905974,3,28,46.4
LVA,2010,73.4829268292683,18251.9348848025,7.8,35.7,48.1
MAR,2010,74.382,6456.25842475025,32.1,39.7,40.8
MDA,2010,69.616,4734.38982119657,17.2,36.3,42
MNE,2010,75.151,14034.5692635667,6.4,31.6,40.5
MDG,2010,63.388,1385.68507168039,67.3,41.7,41.9
MKD,2010,74.662,11355.3394804946,10.2,34.8,47.9
MMR,2010,63.525,3688.49163630723,63.3,32.9,33.9
MNG,2010,67.38,7688.0637252648,26.1,33.3,34
MRT,2010,62.527,3426.47250650269,97.1,35.8,36.4
MLT,2010,81.3975609756098,28339.9675248006,6.8,27,46.5
MUS,2010,72.9673170731707,15938.4192085871,15.1,36.5,40.3
MDV,2010,75.905,11965.3586867155,13.9,40,40.9
MWI,2010,55.564,1077.54224403208,88.4,43.4,43.9
MEX,2010,75.065,16160.3417046123,17.4,46.2,49.5
MYS,2010,74.493,21035.6239366716,7.9,41.1,42.9
MOZ,2010,52.31,944.668191885739,104.5,44.1,44.5
NAM,2010,56.665,8677.65599794304,48.3,60.1,63.4
NER,2010,57.333,812.303874180219,122.6,36,36.3
NGA,2010,50.896,5085.41401259899,135.2,42.2,43
NIC,2010,72.428,3968.98626717689,20.4,42.7,49.3
NLD,2010,80.7024390243902,46101.7545025257,4.5,26.5,45
NOR,2010,80.9975609756098,62350.4107068751,3.2,24.6,44.7
NPL,2010,67.611,1986.71001520982,46.8,36.3,37.1
NZL,2010,80.7024390243902,32232.7088891444,6.1,31.8,46.7
OMN,2010,75.682,45336.2400748723,11.7,31.9,32.9
PAN,2010,76.792,15630.8617965347,19.9,47.3,51.4
PER,2010,74.41,10075.2258008988,20.1,47,50.1
PHL,2010,69.823,5582.53314711114,32,40.9,46.5
PAK,2010,65.264,4071.97605979452,87.5,34.2,33.8
POL,2010,76.2463414634146,21770.6300925472,6,31.4,49.2
PSE,2010,72.788,4019.48506667715,23.3,35.5,36.1
PRT,2010,79.0268292682927,27238.4606724422,3.9,33.7,51.4
PRY,2010,72.653,9740.68188010088,26,46.5,47.8
QAT,2010,79.108,119973.55348913,9.1,39.8,41.7
ROU,2010,73.4585365853659,17469.1754478485,11.5,33,38.9
SRB,2010,74.3365853658537,13366.6444938416,7.6,34,51.6
RUS,2010,68.8412195121951,23325.9811931043,10.3,35.3,46.6
RWA,2010,63.433,1396.40570350555,63.5,47.6,50.1
SAU,2010,73.917,45428.210255006,12.1,47.8,49.1
SLB,2010,70.674,1871.11764335963,25.7,41.9,42.6
SYC,2010,73.1975609756098,20365.1189331513,14.1,40.9,42.8
SWE,2010,81.4512195121951,42988.8052058718,3.1,25.3,47.4
SGP,2010,81.5414634146342,73060.9445998785,2.8,39.4,44.2
SVN,2010,79.4219512195122,28678.3726303687,3.2,24.7,41.1
SVK,2010,75.1121951219512,25159.0775487579,7,25.7,41.9
SLE,2010,49.382,1208.04872063314,162.8,38.3,38.6
SEN,2010,64.284,2775.70191360732,66.4,39.2,39.3
STP,2010,67.43,2559.57576404024,45.4,30.1,30.4
SLV,2010,71.21,6280.95303828637,19.2,40.7,48.2
TCD,2010,50.89,1914.73584783321,149.7,41.3,41.8
TGO,2010,57.468,1241.92066902775,89.6,42,42.4
THA,2010,74.184,13489.3281676543,13.3,40.7,42.1
TJK,2010,68.736,2138.29186268137,43.2,43.9,39.1
TLS,2010,67.186,9005.47841711757,62.3,31.4,32.3
TUN,2010,75.041,10440.9649532548,18.4,38.2,39.1
TUR,2010,74.507,17959.2407217322,17.3,40.5,41.7
TZA,2010,58.584,2227.96245593513,72.3,44.1,37.4
UKR,2010,70.2653658536586,7824.49845171438,11.7,26.9,22.5
UGA,2010,57.099,1585.37517575313,77.4,41.3,43.1
USA,2010,78.5414634146342,49479.2486787465,7.3,37,50.7
URY,2010,76.75,17159.3937728551,10.7,39.3,50.3
VEN,2010,73.134,16887.0959222895,17,37.9,42.6
VNM,2010,74.837,4433.46782576121,23.1,37.7,39.7
VUT,2010,69.123,2949.08129984367,29.4,37.5,38.7
YEM,2010,65.549,4566.15739957799,56,36.2,37
ZAF,2010,57.669,11973.1504778322,52.5,59.5,68.5
ZMB,2010,55.655,3338.09718592616,80.3,53.9,54.5
ZWE,2010,50.64,1928.01708073514,86.3,45.4,45.9
